campPlaced_clean,yes,yes,yes,yes,yes,yes,no,no,no,no,no,dontKnow,dontKnow,dontKnow,dontKnow,dontKnow,missing,missing,missing
nburns_bucket,1,2,3,4,5+,missing,1,2,3,4,5+,1,2,3,4,5+,1,3,5+
age_band,,,,,,,,,,,,,,,,,,,
<=22,21.490460484852335,10.141986050143718,8.766589542509488,4.900264543855596,10.590869552237345,0.0,11.672809273386434,5.908391844173475,0.0,0.0,0.0,26.267586611444816,0.2610420973967949,0.0,0.0,0.0,0.0,0.0,0.0
23-28,26.953435688080198,13.141383106511825,12.179248199613145,10.955478412228107,4.453500871546103,0.0,11.00596150416563,3.489288061547436,4.162927131767187,1.6749499233895695,2.084767648079049,8.79200732858325,0.7658540905050524,0.0,0.3411980339834586,0.0,0.0,0.0,0.0
29-34,21.302235051850616,13.262191441325713,13.538636474722052,11.498247759231173,14.17725416145473,0.0,9.42949392102637,3.848275164082003,3.1851905063748234,3.1441292581674647,2.089988436606142,2.601926988413706,0.9849587510473643,0.42861889040133777,0.17984743386403107,0.1547314462344783,0.17427431519800113,0.0,0.0
35-39,18.639760043221052,12.78249408228172,12.281968167301665,8.516581417066982,22.890334214281086,0.0,6.3852121263553,3.424286256478358,2.588831848538597,2.288605501185623,5.51344251723091,2.943930909994692,0.7922035194846898,0.1529196192018975,0.11940361668483152,0.4840680873099722,0.03166431261313028,0.13734179019063308,0.026951970578861416
40-49,16.046708961669378,10.411057429356136,10.402843790269612,10.285531822363424,26.98698935250499,0.068533056623575,6.031027434096679,4.018259317805244,3.357794776077066,2.0476298196815557,6.352709832041638,2.1895374254045428,0.5805755051147188,0.039927825610810624,0.17633052523875278,0.6566470021214249,0.06058858820628322,0.0,0.2873075358141692
50-59,13.50234710788564,11.513048240528928,9.366269356789596,9.56806119433906,34.14780768923287,0.12156461597901722,6.272044817548837,3.4491390935135655,2.0335900652770555,1.7140000772128614,6.171290448995414,1.5140575429088532,0.1528379298536406,0.0,0.22775635167980476,0.12507099850160203,0.0,0.0,0.12111446975326458
60+,13.826350860873294,6.966763572212852,7.966740911747096,8.07065608390779,32.40414722836561,0.0,5.867891261352664,4.902299651452495,2.4452012649003856,3.8524194907880296,9.278935266759925,2.769504076514705,0.0,0.0,0.0,1.2802136191457725,0.21938177272318998,0.0,0.1494949392561919
