segment,campPlaced,metric,weighted_count,weighted_return_rate,unweighted_n
age30plus,no,return_1yr,609.9387069197883,0.6859027234521837,680
age30plus,no,return_2yr,447.19770260000564,0.6529237920384007,556
age30plus,no,return_3plus,506.75849195448956,0.9778000725482474,588
age30plus,yes,return_1yr,2360.4884480483515,0.745514326837571,2647
age30plus,yes,return_2yr,1773.9327238111518,0.7056906810555273,2220
age30plus,yes,return_3plus,1997.4808251059592,0.9805569410406475,2314
overall,no,return_1yr,645.7939210274761,0.6921069451917594,704
overall,no,return_2yr,472.2033072770308,0.6648994094497216,572
overall,no,return_3plus,533.0704041983656,0.975913634235559,603
overall,yes,return_1yr,2528.304096657728,0.751152075585401,2741
overall,yes,return_2yr,1877.603924202076,0.7126372105118944,2282
overall,yes,return_3plus,2085.179732614479,0.9797959959683932,2363
under30,no,return_1yr,35.85521410768796,0.7976479405380669,24
under30,no,return_2yr,25.005604677025076,0.8790701388814318,16
under30,no,return_3plus,26.311912243876105,0.9395814731351928,15
under30,yes,return_1yr,167.81564860937638,0.8304524322716142,94
under30,yes,return_2yr,103.67120039092411,0.8315002686524482,62
under30,yes,return_3plus,87.69890750851968,0.9624642727580517,49
