cohort_year,campPlaced,under30_weighted_count,total_weighted_count,under30_share,unweighted_n
1986,all,0.0,2.003603151061819,0.0,4
1986,no,0.0,1.676176628621828,0.0,2
1986,yes,0.0,0.208835873146977,0.0,1
1987,all,0.0,0.197415371962664,0.0,1
1987,yes,0.0,0.197415371962664,0.0,1
1988,all,0.0,1.184803176893635,0.0,2
1988,no,0.0,1.184803176893635,0.0,2
1990,all,0.0,0.115056846885864,0.0,1
1990,yes,0.0,0.115056846885864,0.0,1
1991,all,0.105662405568126,1.0128540256305691,0.10432145491285787,3
1991,yes,0.0,0.907191620062443,0.0,2
1993,all,0.0,0.387660717334339,0.0,2
1993,yes,0.0,0.387660717334339,0.0,2
1994,all,0.0,3.935489335737002,0.0,9
1994,no,0.0,0.360460415328988,0.0,1
1994,yes,0.0,2.845981915690587,0.0,7
1995,all,0.0,5.226787651565683,0.0,11
1995,no,0.0,1.902948460484929,0.0,4
1995,yes,0.0,3.3238391910807543,0.0,7
1996,all,0.0,10.702452458809411,0.0,19
1996,no,0.0,0.41235784776295703,0.0,2
1996,yes,0.0,10.290094611046452,0.0,17
1997,all,0.0,12.88199710542635,0.0,29
1997,no,0.0,3.91328871808788,0.0,4
1997,yes,0.0,8.16687313520822,0.0,22
1998,all,0.0,10.905188707424294,0.0,27
1998,no,0.0,1.0470309705037,0.0,3
1998,yes,0.0,9.858157736920592,0.0,24
1999,all,0.0,17.734894268002993,0.0,39
1999,no,0.0,3.00655217532462,0.0,9
1999,yes,0.0,14.104214831070623,0.0,28
2000,all,0.0,20.253624237868355,0.0,50
2000,no,0.0,2.1304029987326083,0.0,6
2000,yes,0.0,17.884765310703543,0.0,43
2001,all,0.40749065016472,13.121465476809234,0.03105526977035572,37
2001,no,0.40749065016472,2.992120859533257,0.1361878979140852,7
2001,yes,0.0,9.840119994676474,0.0,29
2002,all,0.0,21.795823243600598,0.0,48
2002,no,0.0,1.4788919744828521,0.0,7
2002,yes,0.0,20.316931269117745,0.0,41
2003,all,1.22966991654087,15.877648359822267,0.07744660220920996,50
2003,no,0.0,1.830867548873152,0.0,7
2003,yes,1.22966991654087,12.260190002748187,0.10029778627127581,41
2004,all,0.0,25.292212585732155,0.0,51
2004,no,0.0,2.538079701618085,0.0,8
2004,yes,0.0,17.917393161695564,0.0,42
2005,all,0.0,17.1237953652969,0.0,46
2005,no,0.0,5.418838249032053,0.0,8
2005,yes,0.0,11.70495711626485,0.0,38
2006,all,0.0,37.40174548762436,0.0,84
2006,no,0.0,4.128970402200283,0.0,11
2006,yes,0.0,33.03431915699187,0.0,72
2007,all,0.438368934957254,36.439784169262,0.012029954209416827,81
2007,no,0.438368934957254,9.08964783278951,0.04822727381977389,12
2007,yes,0.0,27.133442695760788,0.0,68
2008,all,0.0,38.463047630181734,0.0,89
2008,no,0.0,5.75000597544775,0.0,15
2008,yes,0.0,32.29697648027772,0.0,72
2009,all,0.422823106057187,44.370085318935864,0.00952946344407272,98
2009,no,0.0,7.584565979207531,0.0,16
2009,yes,0.422823106057187,36.78551933972834,0.011494281272808844,82
2010,all,0.385206416222177,58.8583333342046,0.006544636832221009,129
2010,no,0.0,19.46087564528142,0.0,39
2010,yes,0.385206416222177,38.939240756023295,0.009892499410446044,88
2011,all,2.955623422068142,53.68081315299166,0.055059214800724815,117
2011,no,1.58972697677108,15.1659024232917,0.10482244527233586,26
2011,yes,1.365896445297062,38.51491072969996,0.03546409479910282,91
2012,all,0.0,61.69904654571332,0.0,131
2012,no,0.0,14.425470414811736,0.0,28
2012,yes,0.0,45.87962413337093,0.0,98
2013,all,4.314333088881092,108.11556604104925,0.039904828202472056,185
2013,no,1.67994378442442,25.850330383064534,0.0649873235479037,39
2013,yes,2.634389304456672,80.94365532272724,0.0325459641518931,144
2014,all,0.0,130.2493834579517,0.0,182
2014,no,0.0,22.73341692655707,0.0,38
2014,yes,0.0,106.8011619427121,0.0,141
2015,all,3.2237783707549443,148.7494876055409,0.021672534290026413,199
2015,no,0.0,34.52022353406025,0.0,38
2015,yes,3.2237783707549443,112.67861724234099,0.02861038278293277,158
2016,all,0.0,198.48894771097252,0.0,217
2016,no,0.0,53.829781069299855,0.0,55
2016,yes,0.0,140.2229102520364,0.0,159
2017,all,4.62399539041046,237.36233320335856,0.019480746283568436,201
2017,no,0.0,43.85405564582518,0.0,42
2017,yes,4.62399539041046,188.44533304046885,0.024537595682549762,156
2018,all,21.439561191511526,373.6170151243306,0.05738379228894853,233
2018,no,5.004217982260046,80.72725072048658,0.06198920361585037,55
2018,yes,16.435343209251478,280.3872708929706,0.05861658111977978,169
2022,all,51.43671560136736,558.8515127883677,0.0920400400183689,386
2022,no,5.70417728853451,84.9667385674093,0.06713423846449088,62
2022,yes,44.38855779647882,468.87868336334907,0.09466960084018303,321
2023,all,62.292971881200295,498.04446605538277,0.12507512105208954,377
2023,no,15.18589704217309,100.95050275250414,0.1504291373308331,81
2023,yes,45.39688364470594,386.7198510409725,0.11738958711973695,286
2024,all,54.861007804009006,480.86577899682686,0.11408798504742634,380
2024,no,5.845391448402827,92.86336302995879,0.06294615290334722,77
2024,yes,47.709105009200805,370.3129015626815,0.12883457424214334,290
