cohort_year,age_band,campPlaced,weighted_count,weighted_return_rate,unweighted_n
2015,23-28,yes,3.2237783707549443,0.1467502786344207,3
2015,29-34,no,4.45740774419128,0.2372101605143903,3
2015,29-34,yes,12.314760840153223,0.5114768319758088,20
2015,35-39,no,10.111318360240428,0.5464954637972805,12
2015,35-39,yes,30.43119132737598,0.5700702418896496,33
2015,40-49,no,9.00770555706274,0.2906175807038223,12
2015,40-49,yes,33.69607191161937,0.5619608592810036,54
2015,50-59,no,8.95676421070974,0.5139837280861551,6
2015,50-59,yes,26.23047413863105,0.346674591498442,26
2015,60+,no,1.987027661856059,0.2736039264336889,5
2015,60+,yes,6.782340653806413,0.835344982524809,22
2016,29-34,no,5.87674852123062,0.3352015533149892,8
2016,29-34,yes,17.58896814031077,0.6254281864862887,20
2016,35-39,no,14.45340248019546,0.7548492502756545,10
2016,35-39,yes,44.466908523181274,0.538639520498239,44
2016,40-49,no,23.33268655289442,0.7412904808070777,21
2016,40-49,yes,36.725004564670854,0.5743793899931183,51
2016,50-59,no,2.989878842868131,0.4606098082009858,5
2016,50-59,yes,27.719550815761437,0.6004977311891339,23
2016,60+,no,7.177064672111223,0.5493043529402251,11
2016,60+,yes,13.72247820811207,0.922185711712044,21
2017,23-28,yes,4.62399539041046,1.0,2
2017,29-34,no,4.145991092290626,0.6963787576524971,6
2017,29-34,yes,34.204098098488565,0.6601622601154482,27
2017,35-39,no,13.971845029052105,0.7897387209966531,14
2017,35-39,yes,44.281466510602755,0.5560567857968733,32
2017,40-49,no,16.91224568372209,0.6043691074591354,14
2017,40-49,yes,54.792363238725734,0.7742169538834566,46
2017,50-59,no,5.343969030456525,0.7555650870261482,4
2017,50-59,yes,34.99561093225927,0.6692212675856883,26
2017,60+,no,3.480004810303835,1.0,4
2017,60+,yes,15.547798869982069,0.6630016364917276,23
2018,23-28,no,5.004217982260046,0.4471104483420635,3
2018,23-28,yes,16.435343209251478,0.7190136351753623,6
2018,29-34,no,11.544825110094104,0.8284129952960756,11
2018,29-34,yes,51.84423003016612,0.8635545553783206,34
2018,35-39,no,15.670597770902964,0.6838006023408275,10
2018,35-39,yes,61.75053431918994,0.8218046492128191,40
2018,40-49,no,20.050788928785124,0.6909748184544147,14
2018,40-49,yes,87.92937130575665,0.8159771818687912,51
2018,50-59,no,15.66243782904214,0.8047150363994692,10
2018,50-59,yes,42.56262346511518,0.6978196658418744,21
2018,60+,no,12.794383099402213,0.8047433118746771,7
2018,60+,yes,19.865168563491252,0.6959348342673554,17
2022,23-28,no,5.70417728853451,1.0,3
2022,23-28,yes,42.40507028704105,0.9046986287273268,23
2022,29-34,no,27.63793383970443,0.9015070000285056,20
2022,29-34,yes,128.71454386131992,0.8104196909680704,92
2022,35-39,no,28.01911289496106,0.6474096526318205,18
2022,35-39,yes,93.69664680285858,0.7212978014120142,67
2022,40-49,no,16.481553944666338,0.6434172842184684,15
2022,40-49,yes,115.4020738182607,0.8162820185181047,87
2022,50-59,no,4.64620304110871,0.7342306778021115,3
2022,50-59,yes,67.98972333429452,0.81208849135548,32
2022,60+,no,2.477757558434231,1.0,3
2022,60+,yes,18.68713775013652,0.9504014542403636,19
2022,<=22,yes,1.98348750943776,1.0,1
2023,23-28,no,15.18589704217309,0.8091077796914286,9
2023,23-28,yes,41.84841790325154,0.7258197916297139,24
2023,29-34,no,25.944844821366836,0.7058764223376647,17
2023,29-34,yes,77.21969873187258,0.8079225470922723,61
2023,35-39,no,18.919061036948083,0.6142166103528222,15
2023,35-39,yes,90.28471654961642,0.7360515533147883,64
2023,40-49,no,25.9688275232432,0.6852205507104624,24
2023,40-49,yes,102.60074971922124,0.6472864027627347,82
2023,50-59,no,8.02532943685658,0.5339676736146328,6
2023,50-59,yes,52.06439534870384,0.7986312153971153,31
2023,60+,no,6.906542891916335,0.8820360558510344,10
2023,60+,yes,19.153407046852543,0.93539122482712,22
2023,<=22,yes,3.5484657414544,1.0,2
2024,23-28,no,5.845391448402827,1.0,5
2024,23-28,yes,43.60391793790769,0.9338321921183824,24
2024,29-34,no,20.750334348270066,0.9587961480795594,19
2024,29-34,yes,86.58982671494489,0.9768133967703466,70
2024,35-39,no,11.029709880902397,0.925376566586678,11
2024,35-39,yes,78.69863348783727,0.9718363701293756,67
2024,40-49,no,25.42983291009432,1.0,18
2024,40-49,yes,72.4436134986018,1.0,58
2024,50-59,no,18.49643523906227,1.0,14
2024,50-59,yes,60.887796339821605,0.9649581968353504,41
2024,60+,no,11.3116592032269,1.0,10
2024,60+,yes,23.98392651227507,0.9498550891145826,28
2024,<=22,yes,4.10518707129312,1.0,2
