year,set,theme_id,theme_label,count
2024,J - Survival,t1,days / water / bottle,48
2024,J - Survival,t4,weeks / cup / tent,14
2024,J - Survival,t0,love / self / gifting,55
2024,J - Survival,t3,bike / community / engagement,10
2024,J - Survival,t7,emotional / support / camp,8
2024,J - Survival,t5,cup / supplies / shade,15
2024,J - Survival,t2,share / food / good,11
2024,J - Survival,t6,ask / days / help,8
2024,B - Symbolism,t4,place / love / community,150
2024,B - Symbolism,t7,freedom / emotional,3
2024,B - Symbolism,t3,stories / here / there,1
2024,B - Symbolism,t5,art / non / space,2
2024,B - Symbolism,t6,ashes / faith / there,1
2024,B - Symbolism,t2,show / healing / represents,1
2024,B - Symbolism,t0,away / others / free,1
2024,B - Symbolism,t1,creating / expression / humanity,1
2024,A - Transformation,t1,first / here / still,10
2024,A - Transformation,t9,was / open / way,29
2024,A - Transformation,t4,more / sudden / acceptance,14
2024,A - Transformation,t2,gradual / new / learn,11
2024,A - Transformation,t5,sure / every / experience,9
2024,A - Transformation,t6,being / myself / expectations,15
2024,A - Transformation,t3,camp / maybe / creative,14
2024,A - Transformation,t0,let / burns / treat,4
2024,A - Transformation,t8,love / creativity / more,9
2024,A - Transformation,t7,will / costumes / yet,5
2024,M - Sustainability,t6,all / much / yeah,13
2024,M - Sustainability,t5,solar / default / more,21
2024,M - Sustainability,t1,sustainability / would / waste,17
2024,M - Sustainability,t3,more / absolutely / how,18
2024,M - Sustainability,t7,less / gray / more,13
2024,M - Sustainability,t4,here / some / maybe,17
2024,M - Sustainability,t2,don / enough / doubt,9
2024,M - Sustainability,t0,yet / both / such,16
2024,I - Relationships,t2,here / love / more,96
2024,I - Relationships,t3,yet / here / sure,10
2024,I - Relationships,t8,seems / new / present,1
2024,I - Relationships,t6,yourself / default / let,1
2024,I - Relationships,t1,together / part / camp,1
2024,I - Relationships,t4,seem / which / fleeting,1
2024,I - Relationships,t0,been / great,1
2024,I - Relationships,t5,weirder,2
2024,I - Relationships,t7,both / sure / recommend,1
2024,I - Relationships,t9,would / over / maybe,1
2024,C - Emotions,t4,art / love / nova,17
2024,C - Emotions,t6,friends / lost / most,25
2024,C - Emotions,t2,campmates / all / missing,8
2024,C - Emotions,t0,all / some / lack,10
2024,C - Emotions,t7,joy / friend / happiness,26
2024,C - Emotions,t9,overwhelmed / here / friend,16
2024,C - Emotions,t3,freedom / happy / would,9
2024,C - Emotions,t8,myself / camp / night,14
2024,C - Emotions,t5,excitement / lights / all,11
2024,C - Emotions,t1,laughter / there / excitement,2
2024,L - Beyond Black Rock City,t0,more / self / radical,137
2024,L - Beyond Black Rock City,t7,life / open / more,4
2024,L - Beyond Black Rock City,t5,love / kindness / peace,4
2024,L - Beyond Black Rock City,t1,part / yet / big,3
2024,L - Beyond Black Rock City,t3,joining / sexy / most,2
2024,L - Beyond Black Rock City,t4,okay / beige / outside,2
2024,L - Beyond Black Rock City,t6,leave / trace / open,4
2024,L - Beyond Black Rock City,t2,leave / trace / gift,4
2024,H - Experiences,t4,weather / art / serendipity,8
2024,H - Experiences,t2,being / here / new,16
2024,H - Experiences,t0,drugs / bad / too,14
2024,H - Experiences,t1,community / heat / friends,60
2024,H - Experiences,t6,fun / dust / love,13
2024,H - Experiences,t3,art / was / own,19
2024,H - Experiences,t7,all / positive / experiences,11
2024,H - Experiences,t5,camp / doing / issues,5
2024,F - Costumes,t0,both / positively / most,7
2024,F - Costumes,t6,outfits / love / more,17
2024,F - Costumes,t7,more / much / comfortable,34
2024,F - Costumes,t2,myself / comfort / express,22
2024,F - Costumes,t5,good / conversation / fun,12
2024,F - Costumes,t3,mood / self / depends,17
2024,F - Costumes,t4,clothes / normal / ahead,14
2024,F - Costumes,t1,plan / ahead / others,16
2024,D - Boundaries of Humanity,t6,compassion / future / only,23
2024,D - Boundaries of Humanity,t5,emotions / can / humans,13
2024,D - Boundaries of Humanity,t9,drink / more / moral,9
2024,D - Boundaries of Humanity,t4,capacity / being / bad,9
2024,D - Boundaries of Humanity,t8,empathy / emotion / cool,8
2024,D - Boundaries of Humanity,t0,different / don / work,6
2024,D - Boundaries of Humanity,t7,love / hope / empathy,15
2024,D - Boundaries of Humanity,t1,loss / love / humans,3
2024,D - Boundaries of Humanity,t3,self / human / intelligence,8
2024,D - Boundaries of Humanity,t2,soul / language / experience,7
2024,K - Diversity & Inclusion,t4,sure / bit / watch,8
2024,K - Diversity & Inclusion,t0,white / male / art,24
2024,K - Diversity & Inclusion,t5,hair / dress / dye,8
2024,K - Diversity & Inclusion,t2,others / express / census,11
2024,K - Diversity & Inclusion,t3,look / sometimes / care,14
2024,K - Diversity & Inclusion,t6,sometimes / english / hot,6
2024,K - Diversity & Inclusion,t1,more / much / way,15
2024,K - Diversity & Inclusion,t8,white / skin / accent,6
2024,K - Diversity & Inclusion,t7,fun / life / tattoos,5
2024,G - Drinking & Smoking,t6,little / drink / smoke,19
2024,G - Drinking & Smoking,t7,same / much / vape,14
2024,G - Drinking & Smoking,t0,smoke / weed / drink,23
2024,G - Drinking & Smoking,t1,all / shade / impact,30
2024,G - Drinking & Smoking,t2,more / fun / drinking,19
2024,G - Drinking & Smoking,t5,less / smoking / play,16
2024,G - Drinking & Smoking,t3,cannabis / alcohol / daily,8
2024,G - Drinking & Smoking,t4,recreation / change / legal,8
2024,E - Singing & Dancing,t3,only / happy / nope,7
2024,E - Singing & Dancing,t4,good / music / better,16
2024,E - Singing & Dancing,t7,others / fuck / better,15
2024,E - Singing & Dancing,t1,dance / all / music,22
2024,E - Singing & Dancing,t6,same / free / connected,9
2024,E - Singing & Dancing,t0,don / daily / plan,22
2024,E - Singing & Dancing,t5,more / dancing / free,18
2024,E - Singing & Dancing,t2,being / alone / amazing,14
2025,D - Boundaries of Humanity,t1,love / place / one,18
2025,D - Boundaries of Humanity,t2,human / all / machine,3
2025,D - Boundaries of Humanity,t3,consciousness / possibly / more,2
2025,D - Boundaries of Humanity,t4,connection / yet / human,2
2025,D - Boundaries of Humanity,t0,physical / data / emotional,1
2025,B - Survival,t2,water / camp / community,6
2025,B - Survival,t1,shade / mask / solar,4
2025,B - Survival,t4,days / open / community,5
2025,B - Survival,t0,work / help / tent,7
2025,B - Survival,t3,how / weeks / others,5
2025,C - Emotions & Experiences,t5,general / heat / experience,12
2025,C - Emotions & Experiences,t3,art / own / cars,7
2025,C - Emotions & Experiences,t4,happy / happiness / love,4
2025,C - Emotions & Experiences,t0,joy / yet / sure,10
2025,C - Emotions & Experiences,t2,all / stamp / roads,8
2025,C - Emotions & Experiences,t1,acid / horny / rufus,3
2025,E - Relationships,t2,love / together / partner,15
2025,E - Relationships,t1,dome / orgy,3
2025,E - Relationships,t3,yet / sure / here,2
2025,E - Relationships,t0,more / trust / together,2
2025,A - Transformation,t1,change / first / how,4
2025,A - Transformation,t2,freedom / peoples / changed,2
2025,A - Transformation,t3,others / without / watching,3
2025,A - Transformation,t0,both / world / all,10
2025,F - Diversity & Inclusion,t1,tattoos / myself / default,12
2025,F - Diversity & Inclusion,t2,all / always / fit,4
2025,F - Diversity & Inclusion,t3,chinese / culture / more,1
2025,F - Diversity & Inclusion,t0,interactions / others / more,1
